id_prueba,tipo,origen,destino,asunto,resultado_esperado,spf,dkim,dmarc,ubicacion_final,clasificacion_real,observaciones
DKIMNEG02,dkim_absent,smtp_tfm@phisdefense.com,raxdent@gmail.com,DKIMNEG02 correo sin firma DKIM TFM,permitido,pass,none,pass,enviado,dkim_absent_controlled,Correo autenticado enviado sin firma DKIM por SigningTable temporal sin coincidencia; queue_id DC63C43EC2; status sent hacia Gmail; no aparece DKIM-Signature field added para ese queue_id; SigningTable restaurada a s2026 tras la prueba
LOOKALIKE01,lookalike_domain,soporte@phisdefence.com,dmarc@phisdefense.com,LOOKALIKE01 dominio parecido TFM,sospechoso,none,no_aplica,none,maildir,lookalike_domain_detected,Dominio parecido phisdefence.com frente a phisdefense.com; OpenDMARC registro SPF(mailfrom): phisdefence.com none; mensaje entregado localmente; queue_id 7060343ED7; evidencia de riesgo typosquatting/lookalike
AUTO-SOC-0008,open_relay_test,email@mail.phisdefense.com,iykejesse9994@hotmail.com,AUTO Open Relay,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,relay_denied,Detectado automaticamente en syslog: Jul  2 09:46:25 mail postfix/smtpd[506802]: NOQUEUE: reject: RCPT from unknown[95.215.108.8]: 454 4.7.1 <iykejesse9994@hotmail.com>: Relay access denied; from=<email@mail.phisdefense.com> to=<iykejesse9994@hotmail.com> proto=ESMTP helo=<[95.215.108.8]>
AUTO-SOC-0009,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 16:44:45 mail postfix/submission/smtpd[532962]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0010,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 16:44:53 mail postfix/submission/smtpd[532962]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0011,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 16:44:58 mail postfix/submission/smtpd[541990]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0012,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 16:45:05 mail postfix/submission/smtpd[532962]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0013,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 16:45:07 mail postfix/submission/smtpd[541990]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0014,recipient_unknown,dmarc@phisdefense.com,noexiste-real-001@phisdefense.com,AUTO Recipient Unknown,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,recipient_unknown,Detectado automaticamente en syslog: Jul  2 16:45:07 mail postfix/smtpd[541979]: NOQUEUE: reject: RCPT from localhost[127.0.0.1]: 550 5.1.1 <noexiste-real-001@phisdefense.com>: Recipient address rejected: User unknown in local recipient table; from=<dmarc@phisdefense.com> to=<noexiste-real-001@phisdefense.com> proto=ESMTP helo=<tfm-real.local>
AUTO-SOC-0015,recipient_unknown,dmarc@phisdefense.com,noexiste-real-002@phisdefense.com,AUTO Recipient Unknown,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,recipient_unknown,Detectado automaticamente en syslog: Jul  2 16:45:07 mail postfix/smtpd[541984]: NOQUEUE: reject: RCPT from localhost[127.0.0.1]: 550 5.1.1 <noexiste-real-002@phisdefense.com>: Recipient address rejected: User unknown in local recipient table; from=<dmarc@phisdefense.com> to=<noexiste-real-002@phisdefense.com> proto=ESMTP helo=<tfm-real.local>
AUTO-SOC-0016,recipient_unknown,dmarc@phisdefense.com,noexiste-real-003@phisdefense.com,AUTO Recipient Unknown,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,recipient_unknown,Detectado automaticamente en syslog: Jul  2 16:45:07 mail postfix/smtpd[541979]: NOQUEUE: reject: RCPT from localhost[127.0.0.1]: 550 5.1.1 <noexiste-real-003@phisdefense.com>: Recipient address rejected: User unknown in local recipient table; from=<dmarc@phisdefense.com> to=<noexiste-real-003@phisdefense.com> proto=ESMTP helo=<tfm-real.local>
AUTO-SOC-0017,recipient_unknown,dmarc@phisdefense.com,noexiste-real-004@phisdefense.com,AUTO Recipient Unknown,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,recipient_unknown,Detectado automaticamente en syslog: Jul  2 16:45:07 mail postfix/smtpd[541984]: NOQUEUE: reject: RCPT from localhost[127.0.0.1]: 550 5.1.1 <noexiste-real-004@phisdefense.com>: Recipient address rejected: User unknown in local recipient table; from=<dmarc@phisdefense.com> to=<noexiste-real-004@phisdefense.com> proto=ESMTP helo=<tfm-real.local>
AUTO-SOC-0018,recipient_unknown,dmarc@phisdefense.com,noexiste-real-005@phisdefense.com,AUTO Recipient Unknown,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,recipient_unknown,Detectado automaticamente en syslog: Jul  2 16:45:07 mail postfix/smtpd[541984]: NOQUEUE: reject: RCPT from localhost[127.0.0.1]: 550 5.1.1 <noexiste-real-005@phisdefense.com>: Recipient address rejected: User unknown in local recipient table; from=<dmarc@phisdefense.com> to=<noexiste-real-005@phisdefense.com> proto=ESMTP helo=<tfm-real.local>
AUTO-SOC-0019,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 18:15:36 mail postfix/submission/smtpd[543002]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0020,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 18:15:44 mail postfix/submission/smtpd[543002]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0021,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 18:15:51 mail postfix/submission/smtpd[550929]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0022,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 18:15:55 mail postfix/submission/smtpd[543002]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0023,recipient_unknown,dmarc@phisdefense.com,noexiste-soc-real-181532-001@phisdefense.com,AUTO Recipient Unknown,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,recipient_unknown,Detectado automaticamente en syslog: Jul  2 18:15:55 mail postfix/smtpd[550915]: NOQUEUE: reject: RCPT from localhost[127.0.0.1]: 550 5.1.1 <noexiste-soc-real-181532-001@phisdefense.com>: Recipient address rejected: User unknown in local recipient table; from=<dmarc@phisdefense.com> to=<noexiste-soc-real-181532-001@phisdefense.com> proto=ESMTP helo=<tfm-soc-real.local>
AUTO-SOC-0024,recipient_unknown,dmarc@phisdefense.com,noexiste-soc-real-181532-002@phisdefense.com,AUTO Recipient Unknown,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,recipient_unknown,Detectado automaticamente en syslog: Jul  2 18:15:55 mail postfix/smtpd[550920]: NOQUEUE: reject: RCPT from localhost[127.0.0.1]: 550 5.1.1 <noexiste-soc-real-181532-002@phisdefense.com>: Recipient address rejected: User unknown in local recipient table; from=<dmarc@phisdefense.com> to=<noexiste-soc-real-181532-002@phisdefense.com> proto=ESMTP helo=<tfm-soc-real.local>
AUTO-SOC-0025,recipient_unknown,dmarc@phisdefense.com,noexiste-soc-real-181532-003@phisdefense.com,AUTO Recipient Unknown,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,recipient_unknown,Detectado automaticamente en syslog: Jul  2 18:15:55 mail postfix/smtpd[550915]: NOQUEUE: reject: RCPT from localhost[127.0.0.1]: 550 5.1.1 <noexiste-soc-real-181532-003@phisdefense.com>: Recipient address rejected: User unknown in local recipient table; from=<dmarc@phisdefense.com> to=<noexiste-soc-real-181532-003@phisdefense.com> proto=ESMTP helo=<tfm-soc-real.local>
AUTO-SOC-0026,recipient_unknown,dmarc@phisdefense.com,noexiste-soc-real-181532-004@phisdefense.com,AUTO Recipient Unknown,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,recipient_unknown,Detectado automaticamente en syslog: Jul  2 18:15:55 mail postfix/smtpd[550920]: NOQUEUE: reject: RCPT from localhost[127.0.0.1]: 550 5.1.1 <noexiste-soc-real-181532-004@phisdefense.com>: Recipient address rejected: User unknown in local recipient table; from=<dmarc@phisdefense.com> to=<noexiste-soc-real-181532-004@phisdefense.com> proto=ESMTP helo=<tfm-soc-real.local>
AUTO-SOC-0027,recipient_unknown,dmarc@phisdefense.com,noexiste-soc-real-181532-005@phisdefense.com,AUTO Recipient Unknown,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,recipient_unknown,Detectado automaticamente en syslog: Jul  2 18:15:55 mail postfix/smtpd[550920]: NOQUEUE: reject: RCPT from localhost[127.0.0.1]: 550 5.1.1 <noexiste-soc-real-181532-005@phisdefense.com>: Recipient address rejected: User unknown in local recipient table; from=<dmarc@phisdefense.com> to=<noexiste-soc-real-181532-005@phisdefense.com> proto=ESMTP helo=<tfm-soc-real.local>
AUTO-SOC-0028,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 18:48:09 mail postfix/submission/smtpd[553044]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0029,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 18:48:18 mail postfix/submission/smtpd[553044]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0030,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 18:48:25 mail postfix/submission/smtpd[553044]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0031,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 18:48:29 mail postfix/submission/smtpd[553044]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0032,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 18:48:33 mail postfix/submission/smtpd[553044]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0033,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 18:48:37 mail postfix/submission/smtpd[553044]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0034,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 18:48:41 mail postfix/submission/smtpd[553044]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0035,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 18:48:44 mail postfix/submission/smtpd[553044]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0036,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 18:48:47 mail postfix/submission/smtpd[553044]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0037,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 18:48:51 mail postfix/submission/smtpd[553044]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0038,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 18:48:55 mail postfix/submission/smtpd[553044]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0039,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 18:48:59 mail postfix/submission/smtpd[553044]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0040,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 18:49:02 mail postfix/submission/smtpd[553044]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0041,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 18:49:06 mail postfix/submission/smtpd[554589]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0042,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 18:49:10 mail postfix/submission/smtpd[553044]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0043,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 18:49:13 mail postfix/submission/smtpd[554589]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0044,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 18:49:17 mail postfix/submission/smtpd[553044]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0045,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 18:49:20 mail postfix/submission/smtpd[554589]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0046,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 18:49:23 mail postfix/submission/smtpd[553044]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0047,auth_fail,no_aplica,no_aplica,AUTO SMTP Auth Fail,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,auth_fail,Detectado automaticamente en syslog: Jul  2 18:49:27 mail postfix/submission/smtpd[554589]: warning: localhost[127.0.0.1]: SASL PLAIN authentication failed: 
AUTO-SOC-0048,recipient_unknown,dmarc@phisdefense.com,noexiste-mas-soc-184805-001@phisdefense.com,AUTO Recipient Unknown,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,recipient_unknown,Detectado automaticamente en syslog: Jul  2 18:49:27 mail postfix/smtpd[554677]: NOQUEUE: reject: RCPT from localhost[127.0.0.1]: 550 5.1.1 <noexiste-mas-soc-184805-001@phisdefense.com>: Recipient address rejected: User unknown in local recipient table; from=<dmarc@phisdefense.com> to=<noexiste-mas-soc-184805-001@phisdefense.com> proto=ESMTP helo=<tfm-soc-real.local>
AUTO-SOC-0049,recipient_unknown,dmarc@phisdefense.com,noexiste-mas-soc-184805-002@phisdefense.com,AUTO Recipient Unknown,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,recipient_unknown,Detectado automaticamente en syslog: Jul  2 18:49:27 mail postfix/smtpd[554677]: NOQUEUE: reject: RCPT from localhost[127.0.0.1]: 550 5.1.1 <noexiste-mas-soc-184805-002@phisdefense.com>: Recipient address rejected: User unknown in local recipient table; from=<dmarc@phisdefense.com> to=<noexiste-mas-soc-184805-002@phisdefense.com> proto=ESMTP helo=<tfm-soc-real.local>
AUTO-SOC-0050,recipient_unknown,dmarc@phisdefense.com,noexiste-mas-soc-184805-003@phisdefense.com,AUTO Recipient Unknown,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,recipient_unknown,Detectado automaticamente en syslog: Jul  2 18:49:27 mail postfix/smtpd[554677]: NOQUEUE: reject: RCPT from localhost[127.0.0.1]: 550 5.1.1 <noexiste-mas-soc-184805-003@phisdefense.com>: Recipient address rejected: User unknown in local recipient table; from=<dmarc@phisdefense.com> to=<noexiste-mas-soc-184805-003@phisdefense.com> proto=ESMTP helo=<tfm-soc-real.local>
AUTO-SOC-0051,recipient_unknown,dmarc@phisdefense.com,noexiste-mas-soc-184805-004@phisdefense.com,AUTO Recipient Unknown,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,recipient_unknown,Detectado automaticamente en syslog: Jul  2 18:49:27 mail postfix/smtpd[554677]: NOQUEUE: reject: RCPT from localhost[127.0.0.1]: 550 5.1.1 <noexiste-mas-soc-184805-004@phisdefense.com>: Recipient address rejected: User unknown in local recipient table; from=<dmarc@phisdefense.com> to=<noexiste-mas-soc-184805-004@phisdefense.com> proto=ESMTP helo=<tfm-soc-real.local>
AUTO-SOC-0052,recipient_unknown,dmarc@phisdefense.com,noexiste-mas-soc-184805-005@phisdefense.com,AUTO Recipient Unknown,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,recipient_unknown,Detectado automaticamente en syslog: Jul  2 18:49:27 mail postfix/smtpd[554677]: NOQUEUE: reject: RCPT from localhost[127.0.0.1]: 550 5.1.1 <noexiste-mas-soc-184805-005@phisdefense.com>: Recipient address rejected: User unknown in local recipient table; from=<dmarc@phisdefense.com> to=<noexiste-mas-soc-184805-005@phisdefense.com> proto=ESMTP helo=<tfm-soc-real.local>
AUTO-SOC-0053,recipient_unknown,dmarc@phisdefense.com,noexiste-mas-soc-184805-006@phisdefense.com,AUTO Recipient Unknown,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,recipient_unknown,Detectado automaticamente en syslog: Jul  2 18:49:27 mail postfix/smtpd[554677]: NOQUEUE: reject: RCPT from localhost[127.0.0.1]: 550 5.1.1 <noexiste-mas-soc-184805-006@phisdefense.com>: Recipient address rejected: User unknown in local recipient table; from=<dmarc@phisdefense.com> to=<noexiste-mas-soc-184805-006@phisdefense.com> proto=ESMTP helo=<tfm-soc-real.local>
AUTO-SOC-0054,recipient_unknown,dmarc@phisdefense.com,noexiste-mas-soc-184805-007@phisdefense.com,AUTO Recipient Unknown,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,recipient_unknown,Detectado automaticamente en syslog: Jul  2 18:49:27 mail postfix/smtpd[554677]: NOQUEUE: reject: RCPT from localhost[127.0.0.1]: 550 5.1.1 <noexiste-mas-soc-184805-007@phisdefense.com>: Recipient address rejected: User unknown in local recipient table; from=<dmarc@phisdefense.com> to=<noexiste-mas-soc-184805-007@phisdefense.com> proto=ESMTP helo=<tfm-soc-real.local>
AUTO-SOC-0055,recipient_unknown,dmarc@phisdefense.com,noexiste-mas-soc-184805-008@phisdefense.com,AUTO Recipient Unknown,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,recipient_unknown,Detectado automaticamente en syslog: Jul  2 18:49:27 mail postfix/smtpd[554677]: NOQUEUE: reject: RCPT from localhost[127.0.0.1]: 550 5.1.1 <noexiste-mas-soc-184805-008@phisdefense.com>: Recipient address rejected: User unknown in local recipient table; from=<dmarc@phisdefense.com> to=<noexiste-mas-soc-184805-008@phisdefense.com> proto=ESMTP helo=<tfm-soc-real.local>
AUTO-SOC-0056,recipient_unknown,dmarc@phisdefense.com,noexiste-mas-soc-184805-009@phisdefense.com,AUTO Recipient Unknown,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,recipient_unknown,Detectado automaticamente en syslog: Jul  2 18:49:27 mail postfix/smtpd[554677]: NOQUEUE: reject: RCPT from localhost[127.0.0.1]: 550 5.1.1 <noexiste-mas-soc-184805-009@phisdefense.com>: Recipient address rejected: User unknown in local recipient table; from=<dmarc@phisdefense.com> to=<noexiste-mas-soc-184805-009@phisdefense.com> proto=ESMTP helo=<tfm-soc-real.local>
AUTO-SOC-0057,recipient_unknown,dmarc@phisdefense.com,noexiste-mas-soc-184805-010@phisdefense.com,AUTO Recipient Unknown,bloqueado,no_aplica,no_aplica,no_aplica,rechazado,recipient_unknown,Detectado automaticamente en syslog: Jul  2 18:49:27 mail postfix/smtpd[554677]: NOQUEUE: reject: RCPT from localhost[127.0.0.1]: 550 5.1.1 <noexiste-mas-soc-184805-010@phisdefense.com>: Recipient address rejected: User unknown in local recipient table; from=<dmarc@phisdefense.com> to=<noexiste-mas-soc-184805-010@phisdefense.com> proto=ESMTP helo=<tfm-soc-real.local>
